week,discharge,Temperature,DOC
2009-01-05,0.01,20.60,6.23
2009-01-13,0.01,20.80,1.05
2009-01-20,0.01,21.00,0.79
2009-01-27,0.01,20.90,0.71
2009-02-03,0.01,20.70,6.60
2009-02-10,0.01,20.70,1.54
2009-02-17,0.01,19.70,0.90
2009-02-24,0.01,20.40,0.84
2009-03-03,0.01,20.80,1.07
2009-03-10,0.01,19.40,0.98
2009-03-17,0.02,19.90,2.20
2009-03-24,0.01,20.00,4.07
2009-03-31,0.01,20.20,1.60
2009-04-07,0.01,20.60,0.77
2009-04-14,0.01,20.90,0.98
2009-04-21,0.03,21.20,3.26
2009-04-28,0.01,21.00,1.86
2009-05-05,0.01,21.10,1.41
2009-05-12,0.01,21.20,1.23
2009-05-19,0.03,21.20,1.67
2009-05-26,0.01,21.90,0.92
2009-06-02,0.02,22.20,2.73
2009-06-09,0.01,22.10,1.71
2009-06-16,0.01,22.20,1.04
2009-06-23,0.01,22.40,0.87
2009-06-30,0.01,22.60,1.17
2009-07-07,0.01,23.70,1.79
2009-07-14,0.01,22.90,2.14
2009-07-21,0.01,23.00,2.07
2009-07-28,0.01,24.30,1.11
2009-08-04,0.04,23.70,4.14
2009-08-11,0.03,24.00,1.29
2009-08-18,0.01,23.90,1.60
2009-08-25,0.02,23.80,3.48
2009-09-01,0.01,24.20,1.40
2009-09-08,0.01,23.90,1.29
2009-09-15,0.01,23.70,1.30
2009-09-22,0.02,23.80,1.86
2009-09-29,0.01,24.10,0.98
2009-10-06,0.01,24.10,1.14
2009-10-13,0.02,24.00,2.25
2009-10-20,0.01,23.90,1.10
2009-10-27,0.01,23.90,1.07
2009-11-03,0.01,23.60,1.05
2009-11-10,0.02,23.30,1.52
2009-11-17,0.01,23.40,1.55
2009-11-24,0.01,23.60,1.81
2009-12-01,0.01,23.10,0.78
2009-12-08,0.01,23.20,1.47
2009-12-15,0.01,23.10,1.10
2009-12-22,0.01,22.30,1.02
2009-12-29,0.01,21.70,1.26
2010-01-05,0.01,22.60,1.11
2010-01-12,0.01,21.90,0.91
2010-01-19,0.03,22.50,0.87
2010-01-26,0.01,22.30,1.58
2010-02-02,0.01,22.00,1.31
2010-02-09,0.01,21.90,1.20
2010-02-16,0.01,22.60,0.97
2010-02-23,0.01,22.30,1.15
2010-03-02,0.01,22.70,0.34
2010-03-09,0.02,21.60,0.35
2010-03-16,0.01,22.70,0.38
2010-03-23,0.01,23.10,1.13
2010-03-30,0.01,23.20,1.11
2010-04-06,0.01,22.10,2.10
2010-04-13,0.03,22.70,2.79
2010-04-20,0.01,23.10,1.16
2010-04-27,0.02,23.40,1.01
2010-05-04,0.11,23.40,2.72
2010-05-11,0.07,23.50,1.81
2010-05-18,0.17,23.90,1.84
2010-05-25,0.02,24.00,0.96
2010-06-01,0.04,24.30,2.31
2010-06-08,0.01,24.20,0.90
2010-06-15,0.01,24.50,1.22
2010-06-22,0.09,24.00,2.19
2010-06-29,0.02,24.30,1.43
2010-07-06,0.03,24.30,2.43
2010-07-13,0.01,24.70,1.30
2010-07-20,0.24,24.00,2.44
2010-07-27,0.02,24.30,1.34
2010-08-03,0.02,24.70,1.92
2010-08-10,0.15,24.50,4.78
2010-08-17,0.02,24.70,2.10
2010-08-24,0.01,24.90,1.31
2010-08-31,NA,NA,NA
2010-09-07,0.15,24.90,5.79
2010-09-14,0.01,24.70,1.58
2010-09-21,0.01,24.60,1.65
2010-09-28,0.01,24.70,1.67
2010-10-05,0.02,24.70,2.46
2010-10-12,0.01,24.60,1.24
2010-10-19,0.01,24.10,0.88
2010-10-26,0.01,24.50,1.36
2010-11-02,0.01,24.60,1.52
2010-11-09,0.01,24.50,1.56
2010-11-16,0.01,24.30,1.09
2010-11-23,0.15,24.10,4.36
2010-11-30,0.01,21.20,0.87
2010-12-07,0.01,20.70,1.03
2010-12-14,0.01,20.60,1.18
2010-12-21,0.02,20.40,1.59
2010-12-28,0.02,20.70,1.00
2011-01-04,0.03,19.50,1.40
2011-01-11,0.01,20.70,1.07
2011-01-18,0.01,20.60,1.32
2011-01-25,0.01,20.30,1.06
2011-02-01,0.01,20.20,1.12
2011-02-08,0.01,20.40,1.77
2011-02-15,0.01,20.50,1.82
2011-02-22,0.01,19.90,1.27
2011-03-01,0.01,19.50,0.92
2011-03-08,0.01,19.70,1.41
2011-03-15,0.01,19.50,1.33
2011-03-22,0.01,19.50,1.35
2011-03-29,0.01,20.20,1.07
2011-04-05,0.01,20.50,1.23
2011-04-12,0.01,20.10,1.51
2011-04-19,0.01,20.40,1.13
2011-04-26,0.04,20.70,2.48
2011-05-03,0.02,20.90,1.54
2011-05-10,0.01,20.90,1.11
2011-05-17,0.12,20.90,1.63
2011-05-24,0.01,21.30,5.11
2011-05-31,0.01,22.50,4.01
2011-06-07,0.01,21.40,1.53
2011-06-14,0.01,22.30,1.11
2011-06-21,0.53,22.10,6.87
2011-06-28,0.01,22.10,1.93
2011-07-05,0.01,22.10,1.48
2011-07-12,0.07,21.90,3.10
2011-07-19,0.03,22.00,2.58
2011-07-26,0.01,22.30,1.91
2011-08-02,NA,22.30,5.85
2011-08-09,0.02,22.30,1.22
2011-08-16,2.51,22.70,2.08
2011-08-23,NA,NA,NA
2011-08-30,2.51,22.30,1.75
2011-09-06,2.29,22.10,2.10
2011-09-13,0.75,22.20,6.71
2011-09-20,0.03,21.90,3.62
2011-09-27,0.01,22.60,1.11
2011-10-04,0.04,22.70,2.66
2011-10-11,0.01,22.50,1.14
2011-10-18,0.01,22.50,1.09
2011-10-25,0.01,22.50,1.32
2011-11-01,0.02,22.30,3.36
2011-11-08,0.01,22.20,1.84
2011-11-15,0.07,22.30,4.46
2011-11-22,0.03,22.10,2.73
2011-11-29,0.10,21.90,3.36
2011-12-06,0.02,21.50,1.61
2011-12-13,0.02,21.10,0.82
2011-12-20,0.01,20.70,0.93
2011-12-27,0.01,21.10,1.50
2012-01-03,0.01,21.10,1.56
2012-01-10,0.01,21.00,1.06
2012-01-17,0.01,20.90,1.45
2012-01-24,0.02,20.40,3.82
2012-01-31,0.11,20.70,1.05
2012-02-07,0.01,20.70,3.50
2012-02-14,0.02,20.70,2.11
2012-02-21,0.01,20.50,1.46
2012-02-28,0.01,20.80,1.65
2012-03-06,0.01,20.70,1.21
2012-03-13,0.01,20.60,1.86
2012-03-20,0.01,20.70,1.16
2012-03-27,0.01,20.70,0.91
2012-04-03,0.02,20.90,0.82
2012-04-10,0.06,21.10,3.55
2012-04-17,0.01,20.30,1.19
2012-04-24,0.02,21.60,1.24
2012-05-01,0.01,21.50,1.22
2012-05-08,0.01,21.50,1.47
2012-05-15,0.01,22.40,1.22
2012-05-22,0.07,22.10,2.58
2012-05-29,0.01,22.10,1.60
2012-06-05,0.01,22.30,1.02
2012-06-12,0.01,23.20,1.65
2012-06-19,0.01,22.90,1.24
2012-06-26,0.01,23.00,1.57
2012-07-03,0.01,23.30,1.43
2012-07-10,0.01,23.10,1.43
2012-07-17,0.01,23.30,1.85
2012-07-24,0.01,23.30,1.34
2012-07-31,0.94,23.20,4.85
2012-08-07,0.01,23.50,1.12
2012-08-14,0.01,23.50,1.37
2012-08-21,0.01,23.70,1.26
2012-08-28,0.01,22.90,1.15
2012-09-04,0.01,23.10,1.12
2012-09-11,0.01,22.80,1.30
2012-09-18,0.01,23.60,1.33
2012-09-25,0.01,23.50,2.52
2012-10-02,0.01,23.60,1.31
2012-10-09,0.01,23.30,2.28
2012-10-16,0.01,23.50,1.37
2012-10-23,0.01,23.20,1.49
2012-10-30,0.01,23.50,1.21
2012-11-06,0.01,23.10,1.47
2012-11-13,0.01,23.10,1.69
2012-11-20,0.01,23.10,1.16
2012-11-27,0.01,22.90,1.53
2012-12-04,0.05,22.30,2.38
2012-12-11,0.02,22.30,1.40
2012-12-18,0.01,21.90,0.90
2012-12-26,0.01,21.90,0.86
2013-01-02,0.01,21.70,0.71
2013-01-08,0.01,21.80,1.34
2013-01-15,0.01,21.60,1.46
2013-01-22,0.01,21.30,0.76
2013-01-29,0.03,21.50,2.36
2013-02-05,0.01,20.70,1.01
2013-02-12,0.01,20.80,1.37
2013-02-19,0.01,21.20,1.05
2013-02-26,0.01,21.40,0.75
2013-03-05,0.11,21.50,3.90
2013-03-12,0.01,20.70,1.41
2013-03-19,0.03,21.10,2.69
2013-03-26,0.01,21.90,1.04
2013-04-02,0.01,21.70,1.34
2013-04-09,0.01,22.40,1.57
2013-04-16,0.01,22.30,1.02
2013-04-23,0.01,21.80,1.07
2013-04-30,0.01,22.10,1.35
2013-05-07,0.01,22.70,1.15
2013-05-14,0.02,22.70,1.64
2013-05-21,0.07,22.60,3.31
2013-05-28,0.04,22.80,2.07
2013-06-04,0.12,22.80,3.24
2013-06-11,0.02,23.00,1.68
2013-06-18,0.01,23.20,0.93
2013-06-25,0.02,23.10,1.56
2013-07-02,0.08,23.10,2.15
2013-07-09,0.09,23.50,2.78
2013-07-16,0.06,23.30,1.56
2013-07-23,0.02,23.70,1.59
2013-07-30,0.01,23.50,1.59
2013-08-06,0.02,23.70,3.45
2013-08-13,0.01,23.60,0.83
2013-08-20,0.02,23.90,1.63
2013-08-27,0.04,23.80,3.58
2013-09-03,0.03,23.80,5.50
2013-09-10,0.01,23.80,1.10
2013-09-17,0.01,24.30,0.90
2013-09-24,0.01,24.40,1.46
2013-10-01,0.01,24.30,0.97
2013-10-08,0.01,24.30,1.09
2013-10-15,0.01,23.90,1.13
2013-10-22,0.01,23.70,1.42
2013-10-29,0.06,23.50,4.26
2013-11-05,0.01,23.10,1.42
2013-11-12,0.01,23.40,1.96
2013-11-19,0.07,23.00,4.79
2013-11-26,0.01,22.80,1.77
2013-12-03,NA,NA,NA
2013-12-10,0.02,22.50,1.24
2013-12-17,0.02,22.60,1.36
2013-12-24,0.44,22.10,3.97
2013-12-31,0.01,22.40,1.10
2014-01-07,0.02,23.30,1.69
2014-01-14,0.01,21.80,1.01
2014-01-21,0.01,21.80,0.68
2014-01-28,0.01,21.90,1.12
2014-02-04,0.01,22.00,2.50
2014-02-11,0.01,21.90,0.90
2014-02-18,0.01,21.80,1.51
2014-02-25,0.01,21.60,1.51
2014-03-04,0.01,21.50,1.60
2014-03-11,0.01,21.70,2.68
2014-03-18,0.01,21.90,2.31
2014-03-25,0.01,21.90,1.56
2014-04-01,0.01,21.90,1.81
2014-04-08,0.01,22.20,1.06
2014-04-15,0.01,22.30,1.39
2014-04-22,0.01,22.40,1.86
2014-04-29,0.01,22.80,1.51
2014-05-06,0.01,23.20,1.21
2014-05-13,0.02,22.30,1.58
2014-05-20,0.06,22.70,3.00
2014-05-27,0.01,23.10,1.08
2014-06-03,0.01,23.50,1.00
2014-06-10,0.01,23.40,0.98
2014-06-17,0.01,23.50,1.04
2014-06-24,0.01,23.90,1.40
2014-07-01,0.02,24.20,1.30
2014-07-08,0.01,22.00,1.46
2014-07-15,0.01,22.00,1.02
2014-07-22,0.01,22.00,1.24
2014-07-29,0.01,22.50,1.65
2014-08-05,0.06,22.50,2.95
2014-08-12,0.01,23.00,1.70
2014-08-19,0.01,24.40,1.21
2014-08-26,0.02,24.30,1.49
2014-09-02,0.01,24.30,1.01
2014-09-09,0.02,23.00,1.37
2014-09-16,NA,NA,NA
2014-09-23,0.03,23.00,1.67
2014-09-30,0.01,22.00,0.92
2014-10-07,0.01,22.50,1.02
2014-10-14,0.02,22.00,2.09
2014-10-21,0.01,22.00,0.63
2014-10-28,0.01,22.50,0.67
2014-11-04,0.06,22.00,2.84
2014-11-11,0.05,21.00,1.02
2014-11-18,0.01,22.00,1.15
2014-11-25,0.03,21.50,1.90
2014-12-02,0.02,21.50,1.85
2014-12-09,0.01,20.00,0.68
2014-12-16,NA,20.00,5.48
2014-12-23,0.01,20.00,0.65
2014-12-30,0.01,20.00,0.79
2015-01-05,0.01,20.00,0.63
2015-01-13,0.01,20.50,0.99
2015-01-20,0.01,20.00,0.69
2015-01-27,0.01,20.00,0.77
2015-02-03,0.01,20.50,0.71
2015-02-10,0.01,20.00,1.22
2015-02-17,0.05,20.00,2.15
2015-02-24,0.02,20.00,1.66
2015-03-03,0.02,20.00,NA
2015-03-10,0.01,20.00,1.15
2015-03-17,0.01,20.00,0.34
2015-03-24,0.01,20.00,0.62
2015-03-31,0.01,20.00,0.91
2015-04-07,0.01,20.50,1.19
2015-04-14,0.02,20.50,2.18
2015-04-21,0.01,21.00,0.84
2015-04-28,0.01,22.00,0.83
2015-05-05,0.01,22.00,1.30
2015-05-12,0.01,22.00,1.78
2015-05-19,0.01,21.50,1.25
2015-05-26,0.01,21.50,1.14
2015-06-02,0.01,22.50,1.29
2015-06-09,0.01,22.00,1.28
2015-06-16,0.01,22.00,1.05
2015-06-23,0.01,22.00,1.93
2015-06-30,0.01,22.00,1.62
2015-07-07,0.01,22.00,1.11
2015-07-14,0.01,22.00,1.65
2015-07-21,0.01,22.00,1.49
2015-07-28,0.02,22.50,1.21
2015-08-04,0.02,23.00,1.78
2015-08-11,0.02,22.00,1.19
2015-08-18,0.01,22.00,1.21
2015-08-25,0.02,22.50,5.19
2015-09-01,0.01,23.00,2.06
2015-09-08,0.01,22.50,1.79
2015-09-15,0.01,23.00,1.33
2015-09-22,0.01,23.00,1.76
2015-09-29,0.01,22.50,1.53
2015-10-06,0.01,23.00,1.80
2015-10-13,0.01,23.00,2.36
2015-10-20,0.02,22.50,1.52
2015-10-27,0.01,22.00,1.54
2015-11-03,0.02,22.00,2.32
2015-11-10,0.01,22.00,1.89
2015-11-17,0.03,22.00,2.37
2015-11-24,0.01,22.00,0.99
2015-12-01,0.01,21.50,1.57
2015-12-08,0.02,21.00,1.68
2015-12-15,0.01,21.00,0.71
2015-12-22,0.01,21.00,1.22
2015-12-29,0.01,20.50,1.21
2016-01-05,0.01,20.00,0.97
2016-01-12,0.01,20.00,0.75
2016-01-19,0.01,21.00,0.85
2016-01-26,0.01,20.00,0.87
2016-02-02,0.01,20.00,0.84
2016-02-09,0.01,20.50,0.94
2016-02-16,0.01,20.00,1.69
2016-02-23,0.01,20.00,1.09
2016-03-01,0.01,20.00,0.85
2016-03-08,0.03,20.00,1.92
2016-03-15,0.05,20.00,1.34
2016-03-22,0.01,20.00,1.29
2016-03-29,0.01,20.00,1.07
2016-04-05,0.01,20.00,0.73
2016-04-12,0.01,20.50,1.58
2016-04-19,0.01,20.00,1.95
2016-04-26,0.02,20.00,1.24
2016-05-03,0.02,20.00,1.34
2016-05-10,0.01,21.50,1.37
2016-05-17,0.02,22.00,1.65
2016-05-24,0.01,23.00,0.81
2016-05-31,0.11,22.00,2.47
2016-06-07,0.01,22.00,0.73
2016-06-14,0.01,22.00,0.80
2016-06-21,0.01,22.00,1.83
2016-06-28,0.01,22.00,0.86
2016-07-05,0.11,22.00,2.69
2016-07-12,0.01,23.00,0.78
2016-07-19,0.01,22.50,1.62
2016-07-26,0.01,22.50,2.51
2016-08-02,0.01,22.00,1.07
2016-08-09,0.01,23.00,0.97
2016-08-16,0.02,22.00,0.87
2016-08-23,0.01,23.00,0.74
2016-08-30,0.01,22.50,1.36
2016-09-06,0.01,22.50,1.60
2016-09-13,0.01,22.00,1.32
2016-09-20,0.01,22.00,0.77
2016-09-27,0.01,22.00,1.15
2016-10-04,0.01,22.00,1.83
2016-10-11,0.01,22.00,0.80
2016-10-18,0.01,22.50,1.24
2016-10-25,0.01,22.00,1.41
2016-11-01,0.01,22.00,0.97
2016-11-08,0.01,21.00,0.95
2016-11-15,0.01,21.50,1.37
2016-11-22,0.02,21.50,1.22
2016-11-29,0.02,21.00,0.90
2016-12-06,0.03,20.50,1.77
2016-12-13,0.02,21.00,1.70
2016-12-20,0.22,20.00,3.44
2016-12-27,0.02,20.50,2.16
2017-01-03,0.02,20.00,1.35
2017-01-10,0.01,20.50,1.63
2017-01-17,0.18,20.00,3.20
2017-01-24,0.01,19.00,0.74
2017-01-31,0.01,20.00,NA
2017-02-07,0.01,20.00,2.40
2017-02-14,0.01,20.00,0.89
2017-02-21,0.01,20.00,1.04
2017-02-28,0.09,20.00,0.98
2017-03-07,0.62,19.00,0.68
2017-03-14,0.01,20.00,0.75
2017-03-21,0.01,20.00,1.23
2017-03-28,0.01,20.00,0.89
2017-04-04,0.01,20.00,1.05
2017-04-11,0.01,21.00,1.25
2017-04-18,0.09,20.00,1.32
2017-04-25,0.01,21.00,1.31
2017-05-02,0.07,20.00,1.35
2017-05-09,0.01,21.00,0.97
2017-05-16,0.01,21.50,1.00
2017-05-23,0.01,22.00,1.15
2017-05-30,0.11,21.00,3.62
2017-06-06,0.01,22.00,1.17
2017-06-13,0.01,22.50,0.97
2017-06-20,0.03,22.40,2.09
2017-06-27,0.01,22.60,1.68
2017-07-03,0.01,22.70,1.58
2017-07-11,0.02,22.70,1.04
2017-07-18,5.67,22.90,1.57
2017-07-25,0.01,23.20,1.32
2017-08-01,0.03,23.00,2.25
2017-08-08,0.02,22.90,1.40
2017-08-15,0.06,23.20,2.87
2017-08-22,0.03,23.20,0.81
2017-08-29,0.02,23.10,1.08
2017-09-05,0.01,23.10,0.91
2017-09-12,0.02,23.20,1.33
2017-09-18,0.01,23.60,0.74
2017-09-26,NA,NA,NA
2017-10-03,NA,23.70,1.23
2017-10-10,0.02,23.70,1.53
2017-10-17,0.32,23.30,NA
2017-10-24,0.02,23.00,1.14
2017-10-31,0.01,23.30,1.84
2017-11-07,0.06,22.90,2.37
2017-11-14,0.02,23.00,1.68
2017-11-21,0.01,22.80,1.05
2017-11-28,0.01,22.30,1.01
2017-12-05,0.03,22.50,3.26
2017-12-12,0.01,21.90,2.21
2017-12-19,0.23,22.20,1.24
2017-12-26,0.07,22.00,NA
